Language,MusicCategory,Source,mood
Hindi,Classical Music Old,https://www.youtube.com/watch?v=Dv0CoJlrmww,sad
Hindi,Classical Music New,https://www.youtube.com/watch?v=sR72qlhpwEo,bored
Hindi,Romantic Music Old,https://www.youtube.com/watch?v=5HvPhqmzGQ8,happy
Hindi,Romantic Music New,https://www.youtube.com/watch?v=yIlAe2EQOLY,bored
Hindi,Road Trip Music Old,https://www.youtube.com/watch?v=da2havkA7x0,sad
Hindi,Road Trip Music New,https://www.youtube.com/watch?v=gErAmJR1UOk,sad
Hindi,Dance Music Old,https://www.youtube.com/watch?v=bbm1K529fkE&t=89s,sad
Hindi,Dance Music New,https://www.youtube.com/watch?v=ZSNnoMDOgFc,sad
Hindi,Sad Music Old,https://www.youtube.com/watch?v=31Ep8mSP9GE,happy
Hindi,Sad Music New,https://www.youtube.com/watch?v=Gn4U-M-HhV0,sad
Marathi,Classical Music Old,https://www.youtube.com/watch?v=-ceyEAuKIbg,happy
Marathi,Classical Music New,https://www.youtube.com/watch?v=ub0iDQggPWo,bored
Marathi,Romantic Music Old,https://www.youtube.com/watch?v=xzmse0Lg-rY,bored
Marathi,Romantic Music New,https://www.youtube.com/watch?v=-8PdPy3PIe0,happy
Marathi,Road Trip Music Old,https://www.youtube.com/watch?v=imUUogeGUio,sad
Marathi,Road Trip Music New,https://www.youtube.com/watch?v=jrK5gKlFZxI&t=1s,bored
Marathi,Dance Music Old,https://www.youtube.com/watch?v=XUQXTq73Cus,sad
Marathi,Dance Music New,https://www.youtube.com/watch?v=xUSTF4Gyj8M,bored
Marathi,Sad Music Old,https://www.youtube.com/watch?v=H_4yEo6EMHo,sad
Marathi,Sad Music New,https://www.youtube.com/watch?v=nD_xT2PkKNc,bored
Tamil,Classical Music Old,https://youtube.com/playlist?list=PL2EC83F9FF28FCF6B&si=CQStdVW7nM2Olh3W,happy
Tamil,Classical Music New,https://youtube.com/playlist?list=PLugOFB1NPSS3It3NyDd6za3Ax8gYEZpL1&si=Y3jUa6zQ2GkXdpS3,happy
Tamil,Romantic Music Old,https://youtube.com/playlist?list=PL03C0571DBEEFA387&si=8SybvMp6aCm4BsJR,happy
Tamil,Romantic Music New,https://youtu.be/6zgm0cN8CQg?si=_jrjvB7nbG3pcf3Q,bored
Tamil,Road Trip Music Old,https://youtu.be/wDvrGC_xxIQ?si=pvqjF52VoGVDkLwE,happy
Tamil,Road Trip Music New,https://youtu.be/vbVqqJbD5xE?si=T-S7cCm_F4AEORsT,happy
Tamil,Dance Music Old,https://youtube.com/playlist?list=PLTqE9uGnjkEUlSFobW1jfWx1B-ae3KCI1&si=Sz7VrdKLwRJAZTyC,happy
Tamil,Dance Music New,https://youtu.be/dEBfefONLpI?si=DAGNghcIXKokX1IW,bored
Tamil,Sad Music Old,https://youtu.be/9wO6nuNL9Xc?si=YHvk4QwtXk46ymXi,bored
Tamil,Sad Music New,https://youtube.com/playlist?list=PLA-8U9tOtMXtknM6lZbXOyobtRoK2xPQt&si=WJ-7iDCRAHKr22QO,happy
Punjabi,Classical Music Old,https://www.youtube.com/watch?v=XvRAIEq3Ne4,sad
Punjabi,Classical Music New,https://www.youtube.com/watch?v=gWETv7L08Zs,sad
Punjabi,Romantic Music Old,https://www.youtube.com/watch?v=V9r0vWdMgyk,sad
Punjabi,Romantic Music New,https://www.youtube.com/watch?v=1NH6qDDY0_w,happy
Punjabi,Road Trip Music Old,https://www.youtube.com/watch?v=ISW6zPEwsL0,sad
Punjabi,Road Trip Music New,https://www.youtube.com/watch?v=LaETPQbkSf4,sad
Punjabi,Dance Music Old,https://www.youtube.com/watch?v=C3ckk3lpWew,sad
Punjabi,Dance Music New,https://www.youtube.com/watch?v=cvnTGAjum_c,sad
Punjabi,Sad Music Old,https://www.youtube.com/watch?v=1Pof-r0LbUg,happy
Punjabi,Sad Music New,https://www.youtube.com/watch?v=J2tTqT9Dheo,sad
English,Classical Music Old,https://www.youtube.com/watch?v=yv9tHBvyA4M,bored
English,Classical Music New,https://www.youtube.com/watch?v=fpAvYv8wi1c,sad
English,Romantic Music Old,https://www.youtube.com/watch?v=sVW9s1LI3y4,bored
English,Romantic Music New,https://www.youtube.com/watch?v=1lpqa2FygsI,happy
English,Road Trip Music Old,https://www.youtube.com/watch?v=AJ8WFGBwjQk,sad
English,Road Trip Music New,https://www.youtube.com/watch?v=MnmcEjEzlLk,sad
English,Dance Music Old,https://www.youtube.com/watch?v=fSqicTTg1Ps,sad
English,Dance Music New,https://www.youtube.com/watch?v=KNaCJYX-mgY,sad
English,Sad Music Old,https://www.youtube.com/watch?v=31uL5UnYrVg,happy
English,Sad Music New,https://www.youtube.com/watch?v=aG51brxM1kk,sad
